,Unnamed: 0,cohort,DPH,seq,video_name,fps,num_frames_sampled,last_frame_sampled,duration.sampled,num_frames_with_detections,total_clips,removed_preds,start_frame,rotifers,artemia,temp,oxygen,PH,our.temp,mean_current,std_current,rms_current,pull,crazy,fast_start,rotate,breathe,swim,other,strike,spit_i.o,no_fish,tot_preds_in_sampled_time,tot_labeled,proportion_no_fish,min_labeled,frame_span_labeled,manually_annotated,mean_detections_per_frame_20,std_detections_per_frame_20,max_detections_per_frame_20,last_frame_labeled,age_group,frame_size,manual_strikes,manual_strikes_detected_kinetics,manual_strikes_detected_ssv,manual_strikes_detected,new_strikes_kinetics_only,new_strikes_ssv_only,new_strikes_both,new_strikes_detected,unique_strikes,tot_labeled_both,tank,full_duration_min,stat_strikes,sr,full_duration_frame
0,1,F02,13,Seq3,Seq3_13DPH_F02,850,4251,255040,5.000784314,4148,15488,1982,0,240.0,0.0,18.7,100.0,8.080340909,,,,,0,0,2,0,0,123,2,0,0,0,13506,125,0.0,5.00156862745098,255080,True,3.714285714,2.283481052,8,255080,08-14,400,0,0,0,0,0,0,0,0,0,330,41,19.99980392,0,0,1019990
1,2,F02,23,Seq1,Seq1_23DPH_F02,750,3751,225040,5.000888889,2965,5978,481,0,0.0,48.0,20.4,89.0,8.080340909,,,,,0,0,3,0,0,34,3,2,1,0,5497,39,0.0,5.00177777777778,225080,True,1.238095238,1.220850601,4,225080,21-25,400,2,1,2,2,0,0,0,0,2,89,41,19.99822222,2,19,899920
2,3,F02,25,Seq1,Seq1_25DPH_F02,750,3751,225040,5.000888889,1569,2172,153,0,0.0,36.0,20.7,81.0,8.080340909,,,,,0,0,1,0,0,17,1,0,0,0,2019,18,0.0,5.00177777777778,225080,True,0.571428571,0.676123404,2,225080,21-25,400,0,0,0,0,0,1,0,1,1,57,41,19.9868,1,21,899406
3,4,F02,26,Seq1,Seq1_26DPH_F02,750,3751,225040,5.000888889,944,1281,113,0,0.0,63.7,20.6,80.0,8.080340909,,,,,0,4,0,0,0,6,5,5,1,0,1168,14,0.0,5.00177777777778,225080,True,0.238095238,0.538958431,2,225080,26-30,400,2,2,2,2,0,0,1,1,3,31,41,22.22048889,3,151,999922
4,5,F02,30,Seq1,Seq1_30DPH_F02,749,3746,224740,5.000890076,1123,1453,87,0,0.0,110.6,22.0,75.0,8.080340909,,,,,15,0,0,0,0,3,17,1,0,0,1366,20,0.0,5.00178015131286,224780,True,0.476190476,0.92838826,4,224780,26-30,400,1,0,1,1,0,0,0,0,1,61,41,5.592523364,1,25,251328
5,6,F03,16,Seq1,Seq1_16DPH_F03,750,3751,225040,5.000888889,407,443,15,0,261.0,6.3,19.7,91.85294118,7.98,,,,,0,0,0,0,0,1,0,0,0,0,428,1,0.0,5.00177777777778,225080,True,0.142857143,0.358568583,1,225080,15-20,400,0,0,0,0,0,0,0,0,0,6,81,20.31513333,0,0,914181
6,7,F03,20,Seq1,Seq1_20DPH_F03,750,3751,225040,5.000888889,1648,2334,121,0,230.0,20.8,20.7,91.85294118,8.04,,,,,0,0,0,0,0,9,0,0,0,0,2213,9,0.0,5.00177777777778,225080,True,0.476190476,0.813575296,3,225080,15-20,400,0,0,0,0,0,0,0,0,0,20,81,20.02042222,0,0,900919
7,8,F05,24,Seq1,Seq1_24DPH_F05,630,3151,189040,5.001058201,1976,6102,538,0,0.0,67.2,21.1,83.0,8.0,21.1,,,,2,0,0,0,0,63,2,0,0,2,5564,67,0.029850746,5.0021164021164,189080,True,1.952380952,2.710649193,12,189080,21-25,400,0,0,0,0,0,0,0,0,0,73,41,17.31380952,0,0,654462
8,10,F06,8,Seq1,Seq1_08DPH_F06,500,2501,150040,5.001333333,2056,7453,914,0,288.0,0.0,20.1,92.0,8.15,20.1,0.010735202,0.005529297,0.012075489,0,0,2,0,0,127,9,1,1,0,6539,138,0.0,5.00266666666667,150080,True,2.523809524,2.182178902,8,150080,08-14,400,0,0,0,0,1,0,0,1,1,163,61,30.041,1,5,901230
9,11,F06,10,Seq1,Seq1_10DPH_F06,500,2501,150040,5.001333333,930,2035,162,98882,286.0,0.0,20.3,90.0,8.17,20.2,0.011735379,0.009524307,0.015113935,0,3,0,0,0,189,12,3,0,1,1589,203,0.004878049,5.00333333333333,150100,True,0.714285714,0.726273039,2,248982,08-14,400,1,1,1,1,1,0,0,1,2,214,61,28.78903333,2,34,863671
10,12,F06,26,Seq1,Seq1_26DPH_F06,500,2501,150040,5.001333333,598,698,38,0,0.0,71.05,21.3,83.0,8.07,21.5,0.019881205,0.021162134,0.029036124,0,0,0,0,0,10,0,0,0,0,660,10,0.0,5.00266666666667,150080,True,0.238095238,0.43643578,1,150080,26-30,400,0,0,0,0,0,0,0,0,0,13,61,45.22176667,0,0,1356653
11,13,F06,27,Seq1,Seq1_27DPH_F06,500,2501,150040,5.001333333,81,82,1,0,0.0,78.75,21.2,78.0,8.04,21.3,0.016403988,0.008533412,0.018490798,0,0,0,0,0,1,0,0,0,0,81,1,0.0,5.00266666666667,150080,True,0.0,0.0,0,150080,26-30,400,0,0,0,0,0,0,0,0,0,2,61,45.412,0,0,1362360
12,14,F06,27,Seq2,Seq2_27DPH_F06,500,2501,150040,5.001333333,414,492,25,0,0.0,78.75,21.2,78.0,8.04,21.3,0.016403988,0.008533412,0.018490798,0,0,1,0,0,4,3,1,0,0,467,6,0.0,5.00266666666667,150080,True,0.238095238,0.43643578,1,150080,26-30,400,1,0,1,1,0,0,0,0,1,12,61,21.5595,1,50,646785
13,15,F09,16,Seq3,Seq3_16DPH_F09,500,2501,150040,5.001333333,42,42,0,0,264.0,6.9,20.7,110.0,8.12,20.9,0.013552745,0.005957839,0.014804478,0,0,0,0,0,0,0,0,0,0,42,0,,5.00266666666667,150080,True,0.0,0.0,0,150080,15-20,400,0,0,0,0,0,0,0,0,0,1,81,20.04473333,0,0,601342
14,17,F10,9,Seq1,Seq1_09DPH_F10,500,2501,150040,5.001333333,1995,4858,448,0,250.0,0.0,19.9,95.0,8.22,19.8,0.012654498,0.007097972,0.014509215,12,6,4,0,0,393,24,1,0,0,4410,418,0.0,5.00266666666667,150080,True,1.380952381,1.321975434,4,150080,08-14,400,1,1,1,1,0,0,0,0,1,460,101,51.39443333,1,9,1541833
15,18,F10,20,Seq1,Seq1_20DPH_F10,500,2501,150040,5.001333333,270,744,51,0,180.0,6.0,20.4,100.0,8.16,20.0,0.015010849,0.006661484,0.016422568,2,0,0,0,0,13,2,0,0,3,693,18,0.166666667,5.00266666666667,150080,True,0.619047619,2.616795569,12,150080,15-20,400,0,0,0,0,0,0,0,0,0,21,101,59.57696667,0,0,1787309
16,19,F10,24,Seq1,Seq1_24DPH_F10,497,2486,149140,5.001341382,956,1291,63,0,0.0,70.0,20.5,89.0,8.15,20.3,,,,1,0,0,0,0,9,1,0,0,70,1228,80,0.875,5.00268276324614,149180,True,0.857142857,0.91025899,3,149180,21-25,400,0,0,0,0,0,0,0,0,0,199,101,25.79480215,0,0,769201
17,20,F12,23,Seq1,Seq1_23DPH_F12,500,2501,150040,5.001333333,2497,21859,4903,0,325.0,48.6,19.5,88.0,8.16,19.7,,,,0,0,1,0,0,453,1,4,0,0,16956,455,0.0,5.00266666666667,150080,True,7.666666667,3.055050463,12,150080,21-25,400,2,1,2,2,0,3,0,3,5,623,101,10.35513333,5,8,310654
18,21,F12,25,Seq2,Seq2_25DPH_F12,500,2501,150040,5.001333333,2490,44224,16611,0,0.0,70.0,19.7,80.0,8.11,19.7,,,,33,0,8,0,61,322,130,3,1,44,15854,500,0.088,3.06666666666667,92000,True,11.23809524,2.385471901,16,92000,21-25,400,0,0,0,0,2,0,1,3,3,511,101,32.3759,3,5,971277
19,22,F12,26,Seq1,Seq1_26DPH_F12,500,2501,150040,5.001333333,2367,7681,753,0,0.0,87.5,19.7,90.0,8.1,19.5,,,,76,3,0,0,4,414,81,4,1,0,3394,500,0.0,2.57066666666667,77120,True,2.952380952,1.532194194,6,77120,26-30,400,0,0,0,0,2,0,0,2,2,597,101,20.0171,2,16,600513
20,23,F12,26,Seq2,Seq2_26DPH_F12,500,2004,120220,4.007333333,1894,6203,909,0,0.0,87.5,19.7,90.0,8.1,19.5,,,,129,27,2,0,0,313,159,5,22,1,4521,500,0.002,3.43866666666667,103160,True,2.666666667,1.74164673,8,103160,26-30,400,1,1,1,1,4,0,0,4,5,728,101,4.010233333,5,33,120307
21,24,F12,27,Seq2,Seq2_27DPH_F12,500,2501,150040,5.001333333,2458,9724,1097,0,0.0,96.25,19.7,75.0,8.080340909,,,,,3,0,0,0,0,482,15,2,1,1,5709,500,0.001996008,3.11666666666667,93500,True,3.380952381,1.532194194,7,93500,26-30,400,1,1,1,1,0,0,0,0,1,623,101,20.00523333,1,6,600157
22,25,F13,20,Seq2,Seq2_20DPH_F13,500,2501,150040,5.001333333,2473,10852,1182,0,378.0,36.0,20.0,82.0,8.01,19.9,,,,216,13,28,0,6,195,300,2,1,0,3390,500,0.0,1.42666666666667,42800,True,3.619047619,1.802115159,8,42800,15-20,400,1,1,0,1,0,0,0,0,1,547,81,16.9405,1,12,508215
23,26,F13,23,Seq1,Seq1_23DPH_F13,500,2501,150040,5.001333333,1750,3130,172,0,390.0,50.4,19.9,80.0,8.03,19.7,,,,153,17,22,8,9,173,231,1,8,1,2958,414,0.002415459,5.00266666666667,150080,True,1.19047619,1.167006753,5,150080,21-25,400,0,0,0,0,1,1,0,2,2,504,81,20.09326667,2,20,602798
24,27,F13,23,Seq2,Seq2_23DPH_F13,500,2501,150040,5.001333333,2501,25379,5694,0,390.0,50.4,19.9,80.0,8.03,19.7,,,,67,13,0,1,0,421,65,2,12,0,2002,500,0.0,0.414666666666667,12440,True,7.523809524,2.182178902,12,12440,21-25,400,0,0,0,0,2,0,0,2,2,531,81,20.4483,2,38,613449
25,28,F13,30,Seq1,Seq1_30DPH_F13,500,2501,150040,5.001333333,1705,3271,257,0,0.0,112.8,21.3,108.0,8.1,21.3,,,,5,0,0,0,0,49,7,1,0,0,3014,55,0.0,5.00266666666667,150080,True,1.095238095,1.04425868,3,150080,26-30,400,1,0,0,0,0,0,0,0,0,139,81,20.60843333,1,11,618253
26,29,F14,10,Seq2,Seq2_10DPH_F14,544,209,12520,0.383578431,38,40,0,0,400.0,0.0,19.0,90.0,8.18,19.0,,,,0,0,0,0,0,1,0,0,0,0,40,1,0.0,0.384803921568627,12560,True,0.285714286,0.46291005,1,12560,08-14,400,0,0,0,0,0,0,0,0,0,2,61,0.385876225,0,0,12595
27,30,F14,27,Seq1,Seq1_27DPH_F14,500,2501,150040,5.001333333,2501,19719,4458,0,0.0,80.85,20.0,90.0,8.18,21.2,,,,43,12,2,0,0,441,48,4,7,0,3735,500,0.0,1.05666666666667,31700,True,6.047619048,2.499523764,10,31700,26-30,400,1,1,1,1,2,0,0,2,3,552,61,20.07003333,3,28,602101
28,31,F14,27,Seq2,Seq2_27DPH_F14,500,2501,150040,5.001333333,2422,8902,1050,0,0.0,80.85,20.0,90.0,8.18,21.2,,,,195,19,1,1,0,239,249,3,7,1,4583,500,0.002004008,2.84266666666667,85280,True,3.428571429,1.287300609,5,85280,26-30,400,0,0,0,0,2,0,1,3,3,577,61,20.13293333,3,18,603988
29,32,F15,24,Seq3,Seq3_24DPH_F15,498,2491,149440,5.001338688,1148,1562,82,0,,,19.6,91.85294118,8.11,19.6,,,,21,5,0,0,0,73,25,1,1,0,1480,100,0.0,5.00267737617135,149480,True,0.523809524,0.74960307,3,149480,21-25,400,1,1,1,1,0,0,0,0,1,174,71,13.8708166,1,23,414460
30,33,F15,28,Seq2,Seq2_28DPH_F15,500,2501,150040,5.001333333,1923,4505,473,0,0.0,84.0,19.6,87.0,8.15,19.5,,,,9,3,0,0,0,117,12,0,3,0,4032,132,0.0,5.00266666666667,150080,True,1.428571429,1.502379066,5,150080,26-30,400,0,0,0,0,0,0,0,0,0,237,71,20.04276667,0,0,601283
31,34,F15,30,Seq1,Seq1_30DPH_F15,500,2501,150040,5.001333333,1857,4223,400,0,0.0,101.5,20.9,100.0,8.1,21.3,,,,7,6,0,0,0,85,14,4,0,0,3823,99,0.0,5.00266666666667,150080,True,1.047619048,1.160869953,4,150080,26-30,400,2,0,0,0,0,0,0,0,0,158,71,22.16896667,2,23,665069
32,35,F15,30,Seq2,Seq2_30DPH_F15,500,2501,150040,5.001333333,2149,5355,565,0,0.0,101.5,20.9,100.0,8.1,21.3,,,,45,1,1,0,0,228,46,4,5,0,4790,281,0.0,5.00266666666667,150080,True,1.761904762,1.04425868,4,150080,26-30,400,3,2,3,3,0,1,0,1,4,379,71,19.72343333,4,27,591703
33,36,F18,11,Seq1,Seq1_11DPH_F18,500,2501,150040,5.001333333,2501,30364,9026,0,195.0,0.0,19.0,105.0,8.06,19.1,,,,209,61,52,151,0,129,371,0,0,0,1202,500,0.0,0.150666666666667,4520,False,9.428571429,2.580143961,15,4520,08-14,400,0,0,0,0,0,0,0,0,0,505,51,19.99303333,0,0,599791
34,37,F18,9,Seq1,Seq1_09DPH_F18,500,2501,150040,5.001333333,1564,2680,114,0,254.0,0.0,19.5,95.0,8.17,19.6,,,,2,4,1,48,0,379,117,2,2,0,1496,500,0.0,2.57066666666667,77120,False,1.095238095,1.300183137,4,77120,08-14,400,0,0,0,0,0,0,2,2,2,509,51,20.25093333,2,43,607528
35,38,F16,8,Seq2,Seq2_08DPH_F16,500,2501,150040,5.001333333,2427,10054,1173,0,40.0,0.0,18.9,106.0,8.2,18.6,,,,16,8,16,1,0,440,60,0,0,0,3510,500,0.0,1.66666666666667,50000,False,3.380952381,1.499206139,6,50000,08-14,400,0,0,0,0,0,0,0,0,0,555,21,20.21166667,0,0,606350
36,39,F17,9,Seq2,Seq2_09DPH_F17,500,2501,150040,5.001333333,2188,3165,274,0,252.0,0.0,19.0,91.0,8.22,19.1,,,,11,0,4,24,0,180,48,1,0,0,2894,229,0.0,5.00466666666667,150140,False,1.19047619,0.601585208,2,150140,08-14,400,0,0,0,0,1,0,0,1,1,235,41,30.0028,1,10,900084
37,40,F17,11,Seq1,Seq1_11DPH_F17,500,2501,150040,5.001333333,1816,3081,164,0,254.0,0.0,19.1,97.0,8.16,19.3,0.013749361,0.009475982,0.016698464,27,5,5,34,0,251,90,0,3,0,2918,344,0.0,5.00466666666667,150140,False,1.047619048,0.973457265,3,150140,08-14,400,0,0,0,0,0,0,0,0,0,362,41,18.65543333,0,0,559663
38,41,F10,8,Seq1,Seq1_08DPH_F10,290,1451,87040,5.002298851,239,281,12,0,168.0,0.0,20.1,97.0,8.23,20.2,0.012425671,0.006945473,0.014235051,1,0,0,0,0,30,1,1,0,0,269,32,0.0,5.00459770114943,87080,True,0.19047619,0.402373908,1,87080,08-14,400,0,0,0,0,1,0,0,1,1,34,101,30.19229885,1,63,525346
39,42,F14,10,Seq1,Seq1_10DPH_F14,544,2721,163240,5.00122549,1243,1721,77,0,400.0,0.0,19.0,90.0,8.18,19.0,,,,0,0,0,2,0,100,2,1,0,0,1644,103,0.0,5.00245098039216,163280,True,0.619047619,0.804747816,3,163280,08-14,400,0,0,0,0,0,0,1,1,1,111,61,10.01660539,1,19,326942
40,43,F14,10,Seq3,Seq3_10DPH_F14,544,2721,163240,5.00122549,840,1063,58,0,400.0,0.0,19.0,90.0,8.18,19.0,,,,0,1,0,0,0,34,1,0,0,6,1005,41,0.146341463,5.00245098039216,163280,True,0.571428571,0.810643483,3,163280,08-14,400,1,0,0,0,0,0,0,0,0,44,61,11.36360294,1,21,370908
41,44,F06,11,Seq1,Seq1_11DPH_F06,643,3216,192940,5.001036807,687,848,55,0,284.0,0.0,20.2,92.0,8.15,20.1,0.011735379,0.009524307,0.015113935,0,3,0,0,0,1,4,0,0,0,793,5,0.0,5.00207361327112,192980,True,0.19047619,0.511766316,2,192980,08-14,400,0,0,0,0,0,0,0,0,0,10,61,31.1188958,0,0,1200567
42,45,F03,11,Seq1,Seq1_11DPH_F03,750,3751,225040,5.000888889,3276,8365,764,0,247.0,,18.9,94.0,8.13,,,,,0,0,0,0,0,323,0,0,0,0,7601,323,0.0,5.00177777777778,225080,True,1.952380952,1.716863142,6,225080,08-14,400,0,0,0,0,0,0,0,0,0,469,81,20.00131111,0,0,900059
43,47,F09,10,Seq1,Seq1_10DPH_F09,500,2501,150040,5.001333333,1084,1574,112,0,65.0,0.0,21.1,120.0,8.12,21.0,0.014435803,0.006535978,0.015846485,0,1,0,0,0,19,1,0,0,0,1462,20,0.0,5.00266666666667,150080,True,0.619047619,0.864649668,3,150080,08-14,400,0,0,0,0,0,0,0,0,0,35,81,34.26086667,0,0,1027826
44,48,F09,12,Seq1,Seq1_12DPH_F09,500,2501,150040,5.001333333,151,168,9,0,295.0,0.0,20.9,97.0,8.14,20.7,0.012229402,0.005831944,0.013548788,0,0,0,0,0,0,0,0,0,0,159,0,,5.00266666666667,150080,True,0.142857143,0.358568583,1,150080,08-14,400,0,0,0,0,0,0,0,0,0,0,81,40.80016667,0,0,1224005
45,49,F18,22,Seq1,Seq1_22DPH_F18,500,2501,150040,5.001333333,2198,7376,1584,98000,378.0,37.0,20.3,68.0,8.03,20.1,,,,329,49,5,1,0,94,400,5,0,1,2601,500,0.002,1.45466666666667,43640,False,4.214285714,2.006856379,8,141640,21-25,400,0,0,0,0,4,1,0,5,5,540,51,19.99906667,5,49,599972
46,50,F17,13,Seq1,Seq1_13DPH_F17,500,2501,150040,5.001333333,1789,3237,137,0,195.0,0.0,19.0,108.0,8.13,18.9,,,,10,1,3,5,0,205,35,1,0,0,3100,246,0.0,5.00266666666667,150080,False,1.19047619,0.980767435,3,150080,08-14,400,0,0,0,0,1,0,0,1,1,277,41,20.029,1,10,600870
47,51,F17,18,Seq1,Seq1_18DPH_F17,500,2501,150040,5.001333333,2498,12095,1555,0,260.0,0.0,20.0,85.0,7.88,19.9,0.018095824,0.039435647,0.043389164,344,51,3,1,0,97,372,2,27,2,6552,500,0.004,3.07866666666667,92360,False,3.80952381,1.249761882,6,92360,15-20,400,0,0,0,0,2,0,0,2,2,806,41,9.5249,2,10,285747
48,53,F19,18,Seq1,Seq1_18DPH_F19,500,2501,150040,5.001333333,1758,3793,292,0,300.0,,20.4,100.0,7.98,20.02,,,,230,13,13,6,3,159,279,3,2,57,1969,500,0.114,1.88666666666667,56600,False,1.238095238,1.670471847,7,56600,15-20,400,0,0,0,0,2,0,1,3,3,518,31,20.01106667,3,77,600332
49,54,F18,18,Seq2,Seq2_18DPH_F18,500,2501,150040,5.001333333,1098,1632,49,0,253.0,,20.1,90.0,8.0,20.2,0.010738074,0.003848532,0.011406899,33,4,2,1,0,165,37,1,2,0,1583,205,0.0,5.00266666666667,150080,False,0.619047619,0.864649668,3,150080,15-20,400,0,0,0,0,0,0,1,1,1,219,51,20.0263,1,19,600789
50,55,F17,13,Seq2,Seq2_13DPH_F17,500,2501,150040,5.001333333,1694,2652,113,0,195.0,0.0,19.0,108.0,8.13,18.9,,,,15,2,6,1,0,85,34,0,1,0,2539,120,0.0,5.00266666666667,150080,False,0.952380952,0.973457265,3,150080,08-14,400,0,0,0,0,0,0,0,0,0,160,41,20.00966667,0,0,600290
51,56,F18,16,Seq1,Seq1_16DPH_F18,500,2501,150040,5.001333333,2486,8439,1526,54000,260.0,8.4,19.7,93.0,8.13,19.6,,,,25,3,2,1,0,47,47,0,3,0,7810,97,0.0,5.00466666666667,150140,False,3.6875,2.868652413,11,204140,15-20,400,0,0,0,0,0,0,0,0,0,178,51,20.59006667,0,0,617702
